Accession,Gene Name,Description,Coverage,# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Abundances A1,Abundances A2,Abundances A3,Abundances B1,Abundances B2,Abundances B3,Fold Change,p-value
Q80WB5,Wdyhv1,Protein N-terminal glutamine amidohydrolase OS=Mus musculus OX=10090 GN=Wdyhv1 PE=1 SV=1,4.784688995,1,1,1,209,24.321,5.43,90,84.8,87.3,131,93.9,113,1.289202594,0.07972524
Q99K95,Rtfdc1,Protein RTF2 homolog OS=Mus musculus OX=10090 GN=Rtfdc1 PE=1 SV=1,3.25732899,1,1,1,307,33.913,8.81,102.9,63.4,96.1,107.9,109.3,120.5,1.286966463,0.122017056
Q3UIK4,Mettl14,N6-adenosine-methyltransferase non-catalytic subunit OS=Mus musculus OX=10090 GN=Mettl14 PE=1 SV=1,2.192982456,1,1,1,456,52.09,6.21,79.8,104.8,78,86.3,146.9,104.2,1.284843869,0.279465152
Q2VPA6,Helq,Helicase POLQ-like OS=Mus musculus OX=10090 GN=Helq PE=1 SV=2,0.935453695,1,1,1,1069,119.023,6.64,83.6,102.4,76.6,86.5,103.4,147.4,1.284463062,0.275261537
P20801,Tnnc2,"Troponin C, skeletal muscle OS=Mus musculus OX=10090 GN=Tnnc2 PE=1 SV=2",55,8,25,7,160,18.098,4.2,90.5,95.6,76.7,89.3,107.6,140.2,1.282724505,0.194764516
Q9CQQ4,Gemin2,Gem-associated protein 2 OS=Mus musculus OX=10090 GN=Gemin2 PE=2 SV=1,12.6394052,2,3,2,269,30.421,5.53,93.8,64.9,104.2,117.7,107.4,112,1.282236592,0.111025065
Q9WUB3,Pygm,"Glycogen phosphorylase, muscle form OS=Mus musculus OX=10090 GN=Pygm PE=1 SV=3",45.01187648,35,66,28,842,97.225,7.11,82.8,103.4,76.7,95.8,114.8,126.4,1.281856219,0.109361117
P68134,Acta1,"Actin, alpha skeletal muscle OS=Mus musculus OX=10090 GN=Acta1 PE=1 SV=1",72.94429708,22,450,2,377,42.024,5.39,92.7,99.6,70.7,87.4,108.7,140.9,1.281368821,0.238635408
Q63912,Omg,Oligodendrocyte-myelin glycoprotein OS=Mus musculus OX=10090 GN=Omg PE=1 SV=1,1.590909091,1,1,1,440,49.252,8.41,94.7,74.3,94.6,90.9,117,128.5,1.276176024,0.135999277
Q9R0Y5,Ak1,Adenylate kinase isoenzyme 1 OS=Mus musculus OX=10090 GN=Ak1 PE=1 SV=1,48.96907216,9,19,9,194,21.526,5.81,77.8,102.5,84.1,103.7,111.8,120,1.268910741,0.054093838
P58771,Tpm1,Tropomyosin alpha-1 chain OS=Mus musculus OX=10090 GN=Tpm1 PE=1 SV=1,55.28169014,19,81,7,284,32.661,4.74,91.4,92.9,80.3,95.1,106.7,133.6,1.267573696,0.122337948
Q3UHC2,Lrrk1,Leucine-rich repeat serine/threonine-protein kinase 1 OS=Mus musculus OX=10090 GN=Lrrk1 PE=1 SV=1,0.347567031,1,2,1,2014,225.326,6.68,88.1,90.6,86.1,98.7,152.9,83.6,1.265861027,0.327999757
P60755,Mdga2,MAM domain-containing glycosylphosphatidylinositol anchor protein 2 OS=Mus musculus OX=10090 GN=Mdga2 PE=1 SV=1,0.842992624,1,1,1,949,106.622,7.02,87.9,94.3,82.6,99.5,86.8,148.9,1.265861027,0.289607022
Q60780,Gas7,Growth arrest-specific protein 7 OS=Mus musculus OX=10090 GN=Gas7 PE=1 SV=1,9.73871734,2,2,2,421,48.143,7.83,83.3,96.7,84.8,89.5,143.3,102.4,1.265861027,0.234091965
Q8R2R1,Pomt1,Protein O-mannosyl-transferase 1 OS=Mus musculus OX=10090 GN=Pomt1 PE=1 SV=1,1.876675603,1,1,1,746,85.179,8.29,86.1,93.6,85.3,94.9,126.1,114,1.264150943,0.069181183
Q3TMH2,Scrn3,Secernin-3 OS=Mus musculus OX=10090 GN=Scrn3 PE=1 SV=1,2.631578947,1,1,1,418,47.631,5.66,87.4,78.9,98.8,100.8,122.4,111.8,1.263674085,0.051710033
Q9R020,Zranb2,Zinc finger Ran-binding domain-containing protein 2 OS=Mus musculus OX=10090 GN=Zranb2 PE=1 SV=2,7.575757576,2,2,2,330,37.328,9.89,85.6,84.1,95.6,103.8,102.1,128.8,1.261590652,0.068737101
A1A5B6,Tbc1d25,TBC1 domain family member 25 OS=Mus musculus OX=10090 GN=Tbc1d25 PE=1 SV=1,1.347708895,1,1,1,742,82.523,6.79,94.9,77.1,93.4,102.2,98.7,133.7,1.260738508,0.138831738
Q6ZPS6,Ankib1,Ankyrin repeat and IBR domain-containing protein 1 OS=Mus musculus OX=10090 GN=Ankib1 PE=1 SV=2,2.949308756,2,2,2,1085,121.798,5.16,90.1,85.3,90.1,99.3,133.7,101.5,1.259887006,0.1099903
Q9DBC0,Selenoo,Selenoprotein O OS=Mus musculus OX=10090 GN=Selenoo PE=1 SV=4,1.79910045,1,1,1,667,74.175,5.83,84.8,97,83.7,90.2,145.3,99,1.259887006,0.261644352
Q80W93,Hydin,Hydrocephalus-inducing protein OS=Mus musculus OX=10090 GN=Hydin PE=1 SV=2,0.252231277,1,4,1,5154,581.154,6.38,97.3,66.6,101.6,116.5,130.8,87.2,1.259887006,0.24550226
Q80XR2,Atp2c1,Calcium-transporting ATPase type 2C member 1 OS=Mus musculus OX=10090 GN=Atp2c1 PE=1 SV=2,3.159041394,2,2,2,918,100.234,6.83,85.5,100.7,79.6,97,125.6,111.5,1.25696012,0.093267807
P61208,Arl4c,ADP-ribosylation factor-like protein 4C OS=Mus musculus OX=10090 GN=Arl4c PE=2 SV=1,7.8125,1,1,1,192,21.473,9.09,90.1,94.3,81.7,91,128.8,114.1,1.254791432,0.123395283
Q5U5M8,Bloc1s3,Biogenesis of lysosome-related organelles complex 1 subunit 3 OS=Mus musculus OX=10090 GN=Bloc1s3 PE=1 SV=1,4.102564103,1,1,1,195,20.385,4.92,86.5,93,87.3,135.4,87.8,109.9,1.24850075,0.187157564
Q8BFU3,Rnf214,RING finger protein 214 OS=Mus musculus OX=10090 GN=Rnf214 PE=1 SV=1,3.143712575,2,2,2,668,73.578,6.23,94.1,88.2,85.2,100.4,131.8,100.2,1.242616822,0.116215668
P49222,Epb42,Erythrocyte membrane protein band 4.2 OS=Mus musculus OX=10090 GN=Epb42 PE=1 SV=3,4.630969609,3,3,2,691,76.707,7.31,101.7,84.9,81,105.1,125.1,102.2,1.242152466,0.087637277
Q8K1N2,Phldb2,Pleckstrin homology-like domain family B member 2 OS=Mus musculus OX=10090 GN=Phldb2 PE=1 SV=2,2.962369896,3,3,3,1249,141.398,7.68,89.2,89.9,88.5,105.9,126.7,99.7,1.241778774,0.057698001
Q9DCD6,Gabarap,Gamma-aminobutyric acid receptor-associated protein OS=Mus musculus OX=10090 GN=Gabarap PE=1 SV=2,15.38461538,2,3,1,117,13.909,8.79,99.1,71,97.5,114,115.4,102.9,1.241778774,0.095672162
Q9CXK9,Rbm33,RNA-binding protein 33 OS=Mus musculus OX=10090 GN=Rbm33 PE=1 SV=2,2.112103981,2,3,1,1231,137.24,6.46,93.3,99.5,74.9,109.1,120.9,102.2,1.240941352,0.079320891
Q80TN4,Dnajc16,DnaJ homolog subfamily C member 16 OS=Mus musculus OX=10090 GN=Dnajc16 PE=1 SV=2,2.849740933,2,2,2,772,89.08,7.55,92.7,86,89.2,129.1,93.2,109.9,1.240014931,0.112026914
P01648,,Ig kappa chain V-V region HP 91A3 OS=Mus musculus OX=10090 PE=1 SV=1,16.66666667,1,1,1,108,11.954,8.47,83.2,93.2,91.5,94.2,105.3,132.6,1.239641657,0.144465862
P26151,Fcgr1,High affinity immunoglobulin gamma Fc receptor I OS=Mus musculus OX=10090 GN=Fcgr1 PE=1 SV=1,2.722772277,1,1,1,404,44.86,6.09,83.8,96.7,87.4,106.5,132,93.6,1.239641657,0.147011595
Q9CWS4,Ints11,Integrator complex subunit 11 OS=Mus musculus OX=10090 GN=Ints11 PE=1 SV=1,1.666666667,1,1,1,600,67.8,7.94,92,89.3,86.7,103.8,87.6,140.7,1.239179104,0.247330939
P17182,Eno1,Alpha-enolase OS=Mus musculus OX=10090 GN=Eno1 PE=1 SV=3,74.19354839,23,271,17,434,47.111,6.8,93.1,80.6,94.6,120.2,96.9,114.6,1.236302646,0.063702059
Q8K0D2,Habp2,Hyaluronan-binding protein 2 OS=Mus musculus OX=10090 GN=Habp2 PE=1 SV=2,1.612903226,1,1,1,558,62.316,6.37,91.9,81.1,95.4,105.7,81,144.8,1.23509687,0.331835459
P70213,Fv1,Friend virus susceptibility protein 1 OS=Mus musculus OX=10090 GN=Fv1 PE=4 SV=1,3.050108932,1,1,1,459,51.964,5.26,80.3,107.4,80.8,102.2,132.5,96.7,1.234264432,0.216037299
Q8K2C6,Sirt5,"NAD-dependent protein deacylase sirtuin-5, mitochondrial OS=Mus musculus OX=10090 GN=Sirt5 PE=1 SV=1",4.193548387,1,1,1,310,34.112,8.53,79,118.2,71.9,114.4,103.9,112.7,1.230026013,0.234670564
Q9D8L5,Ccdc91,Coiled-coil domain-containing protein 91 OS=Mus musculus OX=10090 GN=Ccdc91 PE=1 SV=2,2.262443439,1,1,1,442,49.976,5.07,90.4,103.9,74.8,89.1,105.8,136.1,1.230026013,0.269787929
P27573,Mpz,Myelin protein P0 OS=Mus musculus OX=10090 GN=Mpz PE=1 SV=1,20.16129032,5,13,5,248,27.604,9.47,93.6,80.2,95.3,104.7,104,122.2,1.229654404,0.054140353
Q3U182,Crtc2,CREB-regulated transcription coactivator 2 OS=Mus musculus OX=10090 GN=Crtc2 PE=1 SV=2,1.011560694,1,1,1,692,73.171,7.01,106.4,94.1,68.6,112.6,119.6,98.7,1.229654404,0.18047819
Q99L00,Haus8,HAUS augmin-like complex subunit 8 OS=Mus musculus OX=10090 GN=Haus8 PE=1 SV=2,10.72386059,2,2,2,373,41.627,6.24,85.5,100.5,83.1,94.7,128.6,107.5,1.229282795,0.142430734
Q3U0J8,Tbc1d2b,TBC1 domain family member 2B OS=Mus musculus OX=10090 GN=Tbc1d2b PE=1 SV=2,1.658031088,1,1,1,965,109.881,6.02,97.3,89.8,82.1,95.5,123.2,112.2,1.229197623,0.088356783
Q3UZZ6,Sult1d1,Sulfotransferase 1 family member D1 OS=Mus musculus OX=10090 GN=Sult1d1 PE=1 SV=1,3.728813559,1,1,1,295,35.06,5.76,92.6,77.2,99.4,129.3,96.9,104.6,1.228826152,0.156120602
Q9CWF2,Tubb2b,Tubulin beta-2B chain OS=Mus musculus OX=10090 GN=Tubb2b PE=1 SV=1,72.35955056,23,199,1,445,49.921,4.89,91.7,74.4,103.2,112.7,106.3,111.7,1.227998515,0.076062674
Q9DBM1,Gpatch1,G patch domain-containing protein 1 OS=Mus musculus OX=10090 GN=Gpatch1 PE=2 SV=1,1.182795699,1,1,1,930,102.945,6.98,105.6,78.5,85.3,95.6,138.9,96.1,1.227171492,0.283925974
P97425,Ear2,Eosinophil cationic protein 2 OS=Mus musculus OX=10090 GN=Ear2 PE=2 SV=1,7.692307692,1,1,1,156,17.609,9.35,87.8,86.8,95.1,121.1,96.7,112.5,1.224694105,0.056699628
O88845,Akap10,"A-kinase anchor protein 10, mitochondrial OS=Mus musculus OX=10090 GN=Akap10 PE=1 SV=3",1.812688822,1,1,1,662,73.586,6.79,101.2,80.6,87.9,105.3,119.3,105.7,1.224694105,0.05621149
Q9CZ57,Nsun4,5-methylcytosine rRNA methyltransferase NSUN4 OS=Mus musculus OX=10090 GN=Nsun4 PE=1 SV=1,3.412073491,1,2,1,381,42.826,8.25,97.1,81.7,91.1,130.6,89.1,110.3,1.222675065,0.192380952
Q3V1G4,Olfml2b,Olfactomedin-like protein 2B OS=Mus musculus OX=10090 GN=Olfml2b PE=1 SV=2,0.938337802,1,1,1,746,83.451,4.86,104.2,86.4,79.8,120.8,98,110.9,1.219304734,0.114740473
Q91VL8,Terf2ip,Telomeric repeat-binding factor 2-interacting protein 1 OS=Mus musculus OX=10090 GN=Terf2ip PE=1 SV=1,4.071246819,1,1,1,393,43.326,4.81,95.6,86.9,87.9,105.1,123.2,101.2,1.218565089,0.054453869
Q3V1D3,Ampd1,AMP deaminase 1 OS=Mus musculus OX=10090 GN=Ampd1 PE=1 SV=2,1.208053691,1,1,1,745,86.05,6.92,98.2,101.9,70.7,112.1,101.9,115.2,1.215657312,0.14101365
Q9EPN1,Nbea,Neurobeachin OS=Mus musculus OX=10090 GN=Nbea PE=1 SV=1,1.021798365,3,3,1,2936,326.536,6.2,91.6,89.9,89.4,134.8,106.5,87.8,1.214839424,0.229079329
Q8BG51,Rhot1,Mitochondrial Rho GTPase 1 OS=Mus musculus OX=10090 GN=Rhot1 PE=1 SV=1,12.36133122,6,8,4,631,72.196,6.49,84.2,101.1,85.7,99.4,124.6,105,1.21402214,0.107663597
P10810,Cd14,Monocyte differentiation antigen CD14 OS=Mus musculus OX=10090 GN=Cd14 PE=1 SV=1,7.923497268,2,3,2,366,39.179,5.21,92.5,85.7,92.9,122.6,93.3,113,1.213205459,0.097287247
Q7TMK6,Hook2,Protein Hook homolog 2 OS=Mus musculus OX=10090 GN=Hook2 PE=1 SV=3,2.374301676,2,2,2,716,83.315,5.43,93,94.1,84,98.4,120.8,109.7,1.213205459,0.055774001
Q8VDI7,Ubac1,Ubiquitin-associated domain-containing protein 1 OS=Mus musculus OX=10090 GN=Ubac1 PE=1 SV=2,6.112469438,2,2,2,409,45.502,4.97,91.9,101.3,78.2,84.4,163.8,80.4,1.210759027,0.532916882
Q7TQ48,Srl,Sarcalumenin OS=Mus musculus OX=10090 GN=Srl PE=1 SV=1,13.62637363,9,11,9,910,99.123,4.46,91.2,102.1,78.3,87.1,103.5,137.8,1.209131075,0.313727788
Q80YQ8,Rmnd5a,E3 ubiquitin-protein ligase RMND5A OS=Mus musculus OX=10090 GN=Rmnd5a PE=1 SV=2,3.069053708,1,1,1,391,43.964,6.06,94.4,87.2,90,99.7,100.5,128.2,1.209131075,0.119891797
Q9D6F9,Tubb4a,Tubulin beta-4A chain OS=Mus musculus OX=10090 GN=Tubb4a PE=1 SV=3,72.74774775,23,173,2,444,49.554,4.88,98,86.1,88,98.3,120.1,109.5,1.205071665,0.063357733
P11680,Cfp,Properdin OS=Mus musculus OX=10090 GN=Cfp PE=2 SV=2,1.724137931,1,1,1,464,50.293,7.84,82.3,102.5,87.5,102.7,116.8,108.1,1.203084833,0.065413501
B1ARW8,,Uncharacterized protein C1orf122 homolog OS=Mus musculus OX=10090 PE=4 SV=1,10,1,1,1,110,11.312,8.21,82.1,107.7,82.6,95.5,113.7,118.4,1.202643172,0.168575481
P61939,Serpina7,Thyroxine-binding globulin OS=Mus musculus OX=10090 GN=Serpina7 PE=2 SV=1,6.220095694,2,2,2,418,47.022,6.54,86,104,82.5,107.9,106.2,113.4,1.201834862,0.058993876
Q04863,Relb,Transcription factor RelB OS=Mus musculus OX=10090 GN=Relb PE=1 SV=2,6.630824373,3,3,3,558,60.267,5.76,96.9,94.5,81.2,103.3,118.4,105.8,1.201393984,0.05366183
P97868,Rbbp6,E3 ubiquitin-protein ligase RBBP6 OS=Mus musculus OX=10090 GN=Rbbp6 PE=1 SV=5,0.837988827,1,1,1,1790,199.466,9.63,97,71.8,103.8,110.4,96.1,120.9,1.201027146,0.205621811
Q9CXF7,Chd1l,Chromodomain-helicase-DNA-binding protein 1-like OS=Mus musculus OX=10090 GN=Chd1l PE=1 SV=1,1.111111111,1,1,1,900,101.374,6.64,80.8,116.9,74.9,96.5,117.8,113.1,1.201027146,0.279945484
Q6PFY1,Fchsd1,F-BAR and double SH3 domains protein 1 OS=Mus musculus OX=10090 GN=Fchsd1 PE=2 SV=1,1.308139535,1,1,1,688,76.209,5.55,96.7,88.9,87.2,129.4,98,99.8,1.19941349,0.162056685
Q8K1L5,Ppp1r11,E3 ubiquitin-protein ligase PPP1R11 OS=Mus musculus OX=10090 GN=Ppp1r11 PE=1 SV=1,12.21374046,2,2,2,131,14.535,6.09,82.6,104.3,85.9,107.1,106.4,113.6,1.199046921,0.064064598
Q8BGS2,Bola2,BolA-like protein 2 OS=Mus musculus OX=10090 GN=Bola2 PE=1 SV=1,62.79069767,4,6,4,86,10.208,6.16,90.9,88.1,93.9,109.2,110.7,107.2,1.198607549,0.000766108
Q64277,Bst1,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2 OS=Mus musculus OX=10090 GN=Bst1 PE=1 SV=1,2.893890675,1,1,1,311,34.594,5.8,90.3,94.7,88,112.4,111.9,102.8,1.198168498,0.008099867
Q9WV30,Nfat5,Nuclear factor of activated T-cells 5 OS=Mus musculus OX=10090 GN=Nfat5 PE=1 SV=2,0.717079531,1,1,1,1534,165.697,5.19,102.5,85.7,84.8,127.2,90.1,109.7,1.197802198,0.213018836
Q3TRM8,Hk3,Hexokinase-3 OS=Mus musculus OX=10090 GN=Hk3 PE=1 SV=2,13.88286334,10,13,8,922,100.037,5.94,97.3,90.4,85.4,113.7,107.8,105.4,1.196997437,0.013380589
P01642,Gm10881,Ig kappa chain V-V region L7 (Fragment) OS=Mus musculus OX=10090 GN=Gm10881 PE=1 SV=1,13.04347826,1,1,1,115,12.607,5.94,93.5,94.5,85.3,111.7,95,120.1,1.19575558,0.087797232
P49290,Epx,Eosinophil peroxidase OS=Mus musculus OX=10090 GN=Epx PE=1 SV=2,7.681564246,5,6,3,716,81.329,10.35,104.7,79.9,88.7,108.1,100.1,118.5,1.195389682,0.11921504
O89104,Sypl2,Synaptophysin-like protein 2 OS=Mus musculus OX=10090 GN=Sypl2 PE=1 SV=1,6.818181818,1,1,1,264,29.205,5.6,93.7,95.7,83.9,87.3,109.6,129.8,1.195389682,0.2368243
O55101,Syngr2,Synaptogyrin-2 OS=Mus musculus OX=10090 GN=Syngr2 PE=2 SV=1,4.464285714,1,1,1,224,24.762,4.78,95.6,95,82.7,106.2,117.7,102.8,1.195389682,0.044661744
Q8VDQ8,Sirt2,NAD-dependent protein deacetylase sirtuin-2 OS=Mus musculus OX=10090 GN=Sirt2 PE=1 SV=2,6.16966581,2,2,2,389,43.228,5.35,92.9,90.4,90.1,108.4,108.2,110,1.194586686,7.33165E-05
Q91ZR2,Snx18,Sorting nexin-18 OS=Mus musculus OX=10090 GN=Snx18 PE=1 SV=1,1.954397394,1,2,1,614,67.862,6.67,95.5,80.2,97.7,109,112,105.6,1.194586686,0.037861457
Q8C181,Mbnl2,Muscleblind-like protein 2 OS=Mus musculus OX=10090 GN=Mbnl2 PE=2 SV=2,9.651474531,4,8,1,373,40.13,9,92.5,84.2,96.7,134.1,86.6,105.8,1.194220922,0.282803916
Q6ZWY8,Tmsb10,Thymosin beta-10 OS=Mus musculus OX=10090 GN=Tmsb10 PE=1 SV=3,47.72727273,2,6,2,44,5.023,5.36,97.5,70.5,105.5,100.4,112.8,113.4,1.194149909,0.195607304
P49813,Tmod1,Tropomodulin-1 OS=Mus musculus OX=10090 GN=Tmod1 PE=1 SV=2,6.128133705,2,6,1,359,40.441,5.1,96.3,93.9,83.3,94.8,113.1,118.6,1.193784278,0.098306337
P21614,Gc,Vitamin D-binding protein OS=Mus musculus OX=10090 GN=Gc PE=1 SV=2,51.8907563,18,36,18,476,53.565,5.5,91.8,92,89.8,110.9,106,109.5,1.192982456,0.000405067
Q6PB93,Galnt2,Polypeptide N-acetylgalactosaminyltransferase 2 OS=Mus musculus OX=10090 GN=Galnt2 PE=1 SV=1,26.14035088,11,16,11,570,64.473,8.53,91.6,90.9,91.1,111.8,108,106.5,1.192616959,0.000382502
Q61599,Arhgdib,Rho GDP-dissociation inhibitor 2 OS=Mus musculus OX=10090 GN=Arhgdib PE=1 SV=3,62,9,20,9,200,22.836,5.11,95.7,85.6,92.3,115.3,97.1,113.9,1.192616959,0.055282301
Q8R422,Cd109,CD109 antigen OS=Mus musculus OX=10090 GN=Cd109 PE=1 SV=1,2.427184466,3,3,3,1442,161.557,5.57,94.3,85,94.4,120.5,100.3,105.6,1.192546584,0.061180106
P01869,Ighg1,"Ig gamma-1 chain C region, membrane-bound form OS=Mus musculus OX=10090 GN=Ighg1 PE=1 SV=2",30.53435115,7,19,7,393,43.359,6.44,99.6,84.3,89.8,109.3,111.5,105.5,1.19218122,0.021797524
Q9D110,Mthfs,5-formyltetrahydrofolate cyclo-ligase OS=Mus musculus OX=10090 GN=Mthfs PE=2 SV=2,5.911330049,1,1,1,203,23.187,7.02,85.1,101,87.7,93.9,145.8,86.5,1.19138057,0.416530818
Q9WUV0,Orc5,Origin recognition complex subunit 5 OS=Mus musculus OX=10090 GN=Orc5 PE=2 SV=1,7.586206897,3,3,3,435,50.185,8.06,96.1,86,91.7,106.9,109.8,109.5,1.19138057,0.004686679
Q6TDU8,Casc1,Protein CASC1 OS=Mus musculus OX=10090 GN=Casc1 PE=1 SV=1,1.369863014,1,4,1,730,84.912,5.38,92.8,93.5,87.5,111.8,99.4,115,1.19138057,0.026998424
Q5UAK0,Mier1,Mesoderm induction early response protein 1 OS=Mus musculus OX=10090 GN=Mier1 PE=1 SV=2,1.369863014,1,1,1,511,57.873,4.45,92.2,95.9,85.7,98.8,116.2,111.2,1.19138057,0.042992698
Q8VIM9,Irgq,Immunity-related GTPase family Q protein OS=Mus musculus OX=10090 GN=Irgq PE=1 SV=1,4.802744425,2,2,2,583,59.287,4.83,87.8,97.8,88.3,102.3,117.4,106.4,1.190580504,0.035190436
Q6ZQK5,Acap2,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 OS=Mus musculus OX=10090 GN=Acap2 PE=1 SV=2",8.571428571,5,6,5,770,87.156,6.68,90.3,87.5,96.2,105.9,111.4,108.7,1.189781022,0.004543036
P16254,Srp14,Signal recognition particle 14 kDa protein OS=Mus musculus OX=10090 GN=Srp14 PE=1 SV=1,29.09090909,3,5,3,110,12.502,10.17,89.5,91.6,92.9,106.9,113.3,105.8,1.189781022,0.002409175
Q91V24,Abca7,ATP-binding cassette sub-family A member 7 OS=Mus musculus OX=10090 GN=Abca7 PE=1 SV=1,0.463177397,1,1,1,2159,236.733,7.28,92,93.9,88.1,115.3,94.8,115.9,1.189781022,0.072231591
P01674,,Ig kappa chain V-III region PC 2154 OS=Mus musculus OX=10090 PE=1 SV=1,11.11111111,1,1,1,108,11.692,6.27,88,85.6,100.5,104.7,114.7,106.5,1.188982123,0.035838687
Q64331,Myo6,Unconventional myosin-VI OS=Mus musculus OX=10090 GN=Myo6 PE=1 SV=1,1.027667984,1,1,1,1265,146.317,8.85,88.7,106.5,78.9,117.4,98.1,110.3,1.188617293,0.155090552
Q6A098,Secisbp2l,Selenocysteine insertion sequence-binding protein 2-like OS=Mus musculus OX=10090 GN=Secisbp2l PE=1 SV=2,1.473296501,1,1,1,1086,119.567,6.35,105.3,81.9,87,103.4,116.2,106.3,1.188548505,0.100251802
Q6NXM2,Rcbtb1,RCC1 and BTB domain-containing protein 1 OS=Mus musculus OX=10090 GN=Rcbtb1 PE=1 SV=1,5.838041431,2,2,2,531,58.342,6.43,87.4,91.8,95,95.7,125,105.2,1.188548505,0.125133104
P62748,Hpcal1,Hippocalcin-like protein 1 OS=Mus musculus OX=10090 GN=Hpcal1 PE=1 SV=2,49.22279793,9,14,4,193,22.324,5.5,92.7,86.1,95.4,112,106,107.8,1.188183807,0.006356642
Q3THJ3,Eif1ad,Probable RNA-binding protein EIF1AD OS=Mus musculus OX=10090 GN=Eif1ad PE=1 SV=2,8.235294118,1,1,1,170,19.508,4.87,88.7,92.2,93.3,101,103.9,120.8,1.18781911,0.053371056
P20826,Kitlg,Kit ligand OS=Mus musculus OX=10090 GN=Kitlg PE=1 SV=1,6.95970696,1,1,1,273,30.626,5.4,120.6,59.8,93.8,96.4,107.5,121.8,1.18781911,0.418842118
P01029,C4b,Complement C4-B OS=Mus musculus OX=10090 GN=C4b PE=1 SV=3,16.4556962,23,36,23,1738,192.794,7.53,89.8,96.9,87.7,107.6,108.3,109.9,1.187317784,0.003932328
Q9CY57,Chtop,Chromatin target of PRMT1 protein OS=Mus musculus OX=10090 GN=Chtop PE=1 SV=2,20.88353414,4,5,4,249,26.568,12.23,92.5,87.9,94,112.7,103.6,109.3,1.186588921,0.006135978
Q8BND5,Qsox1,Sulfhydryl oxidase 1 OS=Mus musculus OX=10090 GN=Qsox1 PE=1 SV=1,5.481283422,3,4,3,748,82.733,7.17,94.5,92.5,87.4,107.5,113,105.1,1.186588921,0.005637838
Q9WUP4,Srd5a3,Polyprenol reductase OS=Mus musculus OX=10090 GN=Srd5a3 PE=1 SV=2,11.81818182,4,4,4,330,37.911,9.79,89.5,98.6,86.4,108.1,104.9,112.6,1.186156648,0.016512779
P15327,Bpgm,Bisphosphoglycerate mutase OS=Mus musculus OX=10090 GN=Bpgm PE=1 SV=2,43.24324324,9,13,9,259,29.96,7.06,91.9,87,95.6,114.5,107.7,103.3,1.18579235,0.014312223
Q9D0F9,Pgm1,Phosphoglucomutase-1 OS=Mus musculus OX=10090 GN=Pgm1 PE=1 SV=4,36.12099644,17,27,16,562,61.38,6.57,90.5,91.6,92.5,107.8,107.6,110,1.184996358,6.11925E-05
A2ASS6,Ttn,Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1,9.624286485,241,287,241,35213,3904.053,6.2,92.2,101.3,81.2,92.4,109.1,123.8,1.184200946,0.192465617
Q9QYF9,Ndrg3,Protein NDRG3 OS=Mus musculus OX=10090 GN=Ndrg3 PE=1 SV=1,2.666666667,1,2,1,375,41.529,5.25,84.4,102.9,87.4,116.5,107.1,101.7,1.184200946,0.078603737
A2A863,Itgb4,Integrin beta-4 OS=Mus musculus OX=10090 GN=Itgb4 PE=1 SV=1,3.520352035,5,5,5,1818,201.522,5.88,91.9,92.1,90.7,106.6,109.5,109.1,1.183836913,7.50987E-05
Q9D8T2,Gsdmdc1,Gasdermin-D OS=Mus musculus OX=10090 GN=Gsdmdc1 PE=1 SV=1,13.75770021,7,9,7,487,53.204,5.1,94.5,85.1,95.2,106,112.5,106.8,1.183770015,0.011903407
Q8BH02,Tor4a,Torsin-4A OS=Mus musculus OX=10090 GN=Tor4a PE=2 SV=1,3.051643192,1,2,1,426,47.556,8.62,90.4,96.9,87.6,104.8,115.2,105.2,1.182975628,0.018612814
Q9QXC1,Fetub,Fetuin-B OS=Mus musculus OX=10090 GN=Fetub PE=1 SV=1,19.32989691,6,8,6,388,42.685,6.61,87.4,90.7,96.8,105.8,114.3,105.1,1.182975628,0.014262558
Q8K371,Amotl2,Angiomotin-like protein 2 OS=Mus musculus OX=10090 GN=Amotl2 PE=1 SV=1,1.813471503,1,1,1,772,85.226,7.21,108.9,77.2,88.8,119,106,100.1,1.182611859,0.196640831
Q8BXA1,Golim4,Golgi integral membrane protein 4 OS=Mus musculus OX=10090 GN=Golim4 PE=1 SV=1,16.64122137,10,12,10,655,76.739,4.83,91.4,91.7,92,109.8,106.4,108.6,1.180661578,8.10328E-05
Q3U4G3,Xxylt1,Xyloside xylosyltransferase 1 OS=Mus musculus OX=10090 GN=Xxylt1 PE=1 SV=2,1.785714286,1,1,1,392,43.81,7.78,98.8,94,82.3,104.2,113.7,106.9,1.180661578,0.042869288
Q5I2A0,Serpina3g,Serine protease inhibitor A3G OS=Mus musculus OX=10090 GN=Serpina3g PE=1 SV=2,21.13636364,7,19,3,440,48.99,6.46,89.4,100.4,85.4,110.4,108.7,105.8,1.18059593,0.024036907
Q9DBP5,Cmpk1,UMP-CMP kinase OS=Mus musculus OX=10090 GN=Cmpk1 PE=1 SV=1,44.3877551,7,13,7,196,22.151,5.83,95.3,81.5,98.4,120,101.8,102.9,1.179869186,0.103575391
